s,a,r,sp
6E537_36,w,0.0,6E537_35
6E537_37,b,34.494653328734046,travel
6E537_37,w,0.0,6E537_36
6E537_38,b,34.494653328734046,travel
6E537_38,w,0.0,6E537_37
6E537_39,b,31.259768677711786,travel
6E537_39,w,0.0,6E537_38
6E537_4,b,35.26093088857546,travel
6E537_4,w,0.0,6E537_3
6E537_40,b,34.494653328734046,travel
6E537_40,w,0.0,6E537_39
6E537_41,b,34.494653328734046,travel
6E537_41,w,0.0,6E537_40
6E537_42,b,34.494653328734046,travel
6E537_42,w,0.0,6E537_41
6E537_43,b,34.494653328734046,travel
6E537_43,w,0.0,6E537_42
6E537_44,b,34.494653328734046,travel
6E537_44,w,0.0,6E537_43
6E537_45,b,34.494653328734046,travel
6E537_45,w,0.0,6E537_44
6E537_46,b,31.259768677711786,travel
6E537_46,w,0.0,6E537_45
6E537_47,b,34.494653328734046,travel
6E537_47,w,0.0,6E537_46
6E537_48,b,34.494653328734046,travel
6E537_48,w,0.0,6E537_47
6E537_49,b,25.647601949217748,travel
6E537_49,w,0.0,6E537_48
6E537_5,b,38.431975403535745,travel
6E537_5,w,0.0,6E537_4
6E537_6,b,40.83299305839118,travel
6E537_6,w,0.0,6E537_5
6E537_7,b,40.83299305839118,travel
6E537_7,w,0.0,6E537_6
6E537_8,b,40.83299305839118,travel
6E537_8,w,0.0,6E537_7
6E537_9,b,38.431975403535745,travel
6E537_9,w,0.0,6E537_8
6E541_0,b,0.0,travel
6E541_0,w,0.0,notravel
6E541_1,b,0.0,6E541_0
6E541_1,w,0.0,6E541_0
6E541_10,b,0.0,6E541_9
6E541_10,w,0.0,6E541_9
6E541_11,b,0.0,6E541_10
6E541_11,w,0.0,6E541_10
6E541_12,b,0.0,6E541_11
6E541_12,w,0.0,6E541_11
6E541_13,b,16.547776854448017,travel
6E541_13,w,0.0,6E541_12
6E541_14,b,17.36763510634531,travel
6E541_14,w,0.0,6E541_13
6E541_15,b,16.073164182636035,travel
6E541_15,w,0.0,6E541_14
6E541_16,b,18.049643001397797,travel
