s,a,r,sp
6E2016_36,b,23.815194093831863,travel
6E2016_36,w,0.0,6E2016_35
6E2016_37,b,17.20282126268708,travel
6E2016_37,w,0.0,6E2016_36
6E2016_38,b,20.973154362416107,travel
6E2016_38,w,0.0,6E2016_37
6E2016_39,b,17.20282126268708,travel
6E2016_39,w,0.0,6E2016_38
6E2016_4,b,16.113438607798905,travel
6E2016_4,w,0.0,6E2016_3
6E2016_40,b,19.13143294432753,travel
6E2016_40,w,0.0,6E2016_39
6E2016_41,b,14.46968600781363,travel
6E2016_41,w,0.0,6E2016_40
6E2016_42,b,20.973154362416107,travel
6E2016_42,w,0.0,6E2016_41
6E2016_43,b,23.815194093831863,travel
6E2016_43,w,0.0,6E2016_42
6E2016_44,b,17.20282126268708,travel
6E2016_44,w,0.0,6E2016_43
6E2016_45,b,20.973154362416107,travel
6E2016_45,w,0.0,6E2016_44
6E2016_46,b,17.20282126268708,travel
6E2016_46,w,0.0,6E2016_45
6E2016_47,b,19.13143294432753,travel
6E2016_47,w,0.0,6E2016_46
6E2016_48,b,14.46968600781363,travel
6E2016_48,w,0.0,6E2016_47
6E2016_49,b,15.45595054095827,travel
6E2016_49,w,0.0,6E2016_48
6E2016_5,b,17.20282126268708,travel
6E2016_5,w,0.0,6E2016_4
6E2016_6,b,11.851149561507466,travel
6E2016_6,w,0.0,6E2016_5
6E2016_7,b,23.815194093831863,travel
6E2016_7,w,0.0,6E2016_6
6E2016_8,b,23.815194093831863,travel
6E2016_8,w,0.0,6E2016_7
6E2016_9,b,23.815194093831863,travel
6E2016_9,w,0.0,6E2016_8
6E2017_0,b,6.439979392065945,travel
6E2017_1,b,7.388798581350672,travel
6E2017_1,w,0.0,6E2017_0
6E2017_10,b,23.815194093831863,travel
6E2017_10,w,0.0,6E2017_9
6E2017_11,b,16.50437365901964,travel
6E2017_11,w,0.0,6E2017_10
6E2017_12,b,19.13143294432753,travel
6E2017_12,w,0.0,6E2017_11
6E2017_13,b,16.50437365901964,travel
6E2017_13,w,0.0,6E2017_12
6E2017_14,b,19.13143294432753,travel
6E2017_14,w,0.0,6E2017_13
6E2017_15,b,23.815194093831863,travel
6E2017_15,w,0.0,6E2017_14
6E2017_16,b,19.13143294432753,travel
6E2017_16,w,0.0,6E2017_15
6E2017_17,b,19.13143294432753,travel
6E2017_17,w,0.0,6E2017_16
6E2017_18,b,14.46968600781363,travel
6E2017_18,w,0.0,6E2017_17
6E2017_19,b,19.13143294432753,travel
6E2017_19,w,0.0,6E2017_18
6E2017_2,b,6.89893066574681,travel
6E2017_2,w,0.0,6E2017_1
6E2017_20,b,16.50437365901964,travel
6E2017_20,w,0.0,6E2017_19
6E2017_21,b,19.13143294432753,travel
6E2017_21,w,0.0,6E2017_20
6E2017_22,b,19.13143294432753,travel
6E2017_22,w,0.0,6E2017_21
6E2017_23,b,17.20282126268708,travel
6E2017_23,w,0.0,6E2017_22
6E2017_24,b,17.20282126268708,travel
6E2017_24,w,0.0,6E2017_23
6E2017_25,b,14.46968600781363,travel
6E2017_25,w,0.0,6E2017_24
6E2017_26,b,19.13143294432753,travel
6E2017_26,w,0.0,6E2017_25
6E2017_27,b,11.851149561507466,travel
6E2017_27,w,0.0,6E2017_26
6E2017_28,b,20.973154362416107,travel
6E2017_28,w,0.0,6E2017_27
6E2017_29,b,17.20282126268708,travel
6E2017_29,w,0.0,6E2017_28
6E2017_3,b,10.637166258908627,travel
6E2017_3,w,0.0,6E2017_2
6E2017_30,b,17.20282126268708,travel
6E2017_30,w,0.0,6E2017_29
6E2017_31,b,15.08978421608571,travel
6E2017_31,w,0.0,6E2017_30
6E2017_32,b,13.542795232936077,travel
6E2017_32,w,0.0,6E2017_31
6E2017_33,b,15.08978421608571,travel
6E2017_33,w,0.0,6E2017_32
6E2017_34,b,13.542795232936077,travel
6E2017_34,w,0.0,6E2017_33
6E2017_35,b,20.973154362416107,travel
6E2017_35,w,0.0,6E2017_34
6E2017_36,b,23.815194093831863,travel
6E2017_36,w,0.0,6E2017_35
6E2017_37,b,15.08978421608571,travel
6E2017_37,w,0.0,6E2017_36
6E2017_38,b,12.166930283489476,travel
6E2017_38,w,0.0,6E2017_37
6E2017_39,b,14.46968600781363,travel
6E2017_39,w,0.0,6E2017_38
6E2017_4,b,9.04649900488511,travel
6E2017_4,w,0.0,6E2017_3
